,Unnamed: 0,Sentence #,Word,POS,Tag
107,107,Sentence: 6,",",VERB,O
108,108,Sentence: 6,"""",DET,O
109,109,Sentence: 6,Эпиваккорона,NOUN,O
110,110,Sentence: 6,"""",PUNCT,O
111,111,Sentence: 6,",",VERB,O
112,112,Sentence: 6,"""",DET,O
113,113,Sentence: 6,Ковивак,NOUN,O
114,114,Sentence: 6,"""",CCONJ,O
115,115,Sentence: 6,",",ADP,O
116,116,Sentence: 6,"""",ADJ,O
117,117,Sentence: 6,Спутник,PUNCT,O
118,118,Sentence: 6,Лайт,SCONJ,O
119,119,Sentence: 6,"""",VERB,O
120,120,Sentence: 6,.,DET,O
121,121,Sentence: 6,"""",NOUN,O
122,122,Sentence: 6,Хорошо,VERB,O
123,123,Sentence: 6,",",PUNCT,O
124,124,Sentence: 6,что,ADP,O
125,125,Sentence: 6,у,ADJ,O
126,126,Sentence: 6,нас,NOUN,O
127,127,Sentence: 6,есть,PUNCT,O
128,128,Sentence: 6,другие,ADP,O
129,129,Sentence: 6,вакцины,NOUN,O
130,130,Sentence: 6,[,PUNCT,O
131,131,Sentence: 6,кроме,ADV,O
132,132,Sentence: 6,"""",PUNCT,O
133,133,Sentence: 6,Спутника,NOUN,O
134,134,Sentence: 6,V,VERB,O
135,135,Sentence: 6,"""",ADJ,O
136,136,Sentence: 6,],NOUN,O
137,137,Sentence: 6,",",PUNCT,O
138,138,Sentence: 6,которые,SCONJ,O
139,139,Sentence: 6,наращивают,PUNCT,O
140,140,Sentence: 6,свое,NOUN,O
141,141,Sentence: 6,производство,ADJ,O
142,142,Sentence: 6,",",PUNCT,O
143,143,Sentence: 6,наращивают,PUNCT,O
144,144,Sentence: 6,свой,CCONJ,O
145,145,Sentence: 6,объем,PART,O
146,146,Sentence: 6,и,PUNCT,O
147,147,Sentence: 6,в,NOUN,O
148,148,Sentence: 6,последующем,PUNCT,O
149,149,Sentence: 6,",",CCONJ,O
150,150,Sentence: 6,как,PUNCT,O
151,151,Sentence: 6,прогнозируют,NOUN,O
152,152,Sentence: 6,наши,PUNCT,O
153,153,Sentence: 6,уважаемые,PUNCT,O
154,154,Sentence: 6,ученные,CCONJ,O
155,155,Sentence: 6,",",ADP,O
156,156,Sentence: 6,в,ADJ,O
157,157,Sentence: 6,следующем,NOUN,O
158,158,Sentence: 6,году,NOUN,O
159,159,Sentence: 6,",",ADV,O
160,160,Sentence: 6,через,VERB,O
161,161,Sentence: 6,год,PUNCT,O
162,162,Sentence: 6,",",PUNCT,O
163,163,Sentence: 6,возможно,PUNCT,O
164,164,Sentence: 6,",",VERB,O
165,165,Sentence: 6,ревакцинация,PRON,O
166,166,Sentence: 6,потребуется,PUNCT,O
167,167,Sentence: 6,другой,VERB,O
168,168,Sentence: 6,вакциной,ADP,O
169,169,Sentence: 6,",",ADJ,O
170,170,Sentence: 6,чем,NOUN,O
171,171,Sentence: 6,"""",ADP,O
172,172,Sentence: 6,Спутник,PROPN,O
173,173,Sentence: 6,V,PUNCT,O
174,174,Sentence: 7,"""",PROPN,O
175,175,Sentence: 7,",",VERB,O
176,176,Sentence: 7,а,PUNCT,O
177,177,Sentence: 7,именно,SCONJ,O
178,178,Sentence: 7,"""",ADJ,O
179,179,Sentence: 7,Ковиваком,NOUN,O
180,180,Sentence: 7,"""",PUNCT,O
181,181,Sentence: 7,или,NOUN,O
182,182,Sentence: 7,"""",PROPN,O
183,183,Sentence: 7,Эпиваккороной,PUNCT,O
184,184,Sentence: 7,"""",ADV,O
185,185,Sentence: 7,",",ADV,O
186,186,Sentence: 7,но,NUM,O
187,187,Sentence: 7,в,PUNCT,O
188,188,Sentence: 7,данном,ADV,O
189,189,Sentence: 7,направлении,PRON,O
190,190,Sentence: 7,исследования,NOUN,O
191,191,Sentence: 7,еще,CCONJ,O
192,192,Sentence: 7,идут,NOUN,O
193,193,Sentence: 7,"""",ADP,O
194,194,Sentence: 7,",",PROPN,O
195,195,Sentence: 7,-,ADV,O
196,196,Sentence: 7,сказал,NUM,O
197,197,Sentence: 7,он,PUNCT,O
198,198,Sentence: 8,",",ADV,O
199,199,Sentence: 8,выступая,ADP,O
200,200,Sentence: 8,на,PROPN,O
201,201,Sentence: 8,пленарном,VERB,O
202,202,Sentence: 8,заседании,NUM,O
203,203,Sentence: 8,в,ADJ,O
204,204,Sentence: 8,Госдуме,NOUN,O
205,205,Sentence: 8,.,ADP,O
206,206,Sentence: 8,Гриднев,NOUN,O
207,207,Sentence: 8,добавил,PUNCT,O
208,208,Sentence: 9,",",ADJ,O
209,209,Sentence: 9,что,ADJ,O
210,210,Sentence: 9,промышленное,ADP,O
211,211,Sentence: 9,производство,PRON,O
212,212,Sentence: 9,"""",VERB,O
213,213,Sentence: 9,Спутника,PUNCT,O
214,214,Sentence: 9,V,NOUN,O
215,215,Sentence: 9,"""",ADJ,O
216,216,Sentence: 9,сегодня,PUNCT,O
217,217,Sentence: 9,гораздо,PUNCT,O
218,218,Sentence: 9,больше,VERB,O
219,219,Sentence: 9,",",PROPN,O
220,220,Sentence: 9,поэтому,NOUN,O
221,221,Sentence: 9,ее,PUNCT,O
222,222,Sentence: 9,распространение,PROPN,O
223,223,Sentence: 9,и,PUNCT,O
224,224,Sentence: 10,поставки,NOUN,O
225,225,Sentence: 10,в,PROPN,O
226,226,Sentence: 10,РФ,PROPN,O
227,227,Sentence: 10,тоже,NUM,O
228,228,Sentence: 10,больше,NOUN,O
229,229,Sentence: 10,.,PROPN,O
230,230,Sentence: 10,Сейчас,ADP,O
231,231,Sentence: 10,в,ADJ,O
232,232,Sentence: 10,России,NOUN,O
233,233,Sentence: 10,зарегистрированы,VERB,O
234,234,Sentence: 10,четыре,ADJ,O
235,235,Sentence: 10,отечественные,NOUN,O
236,236,Sentence: 10,вакцины,ADP,O
237,237,Sentence: 10,от,NOUN,O
238,238,Sentence: 10,коронавируса,NOUN,O
239,239,Sentence: 10,.,PROPN,O
240,240,Sentence: 10,Самой,PUNCT,O
241,241,Sentence: 10,распространенной,PRON,O
242,242,Sentence: 10,из,VERB,O
243,243,Sentence: 10,них,ADP,O
244,244,Sentence: 10,является,NOUN,O
245,245,Sentence: 10,"""",NOUN,O
246,246,Sentence: 10,Спутник,ADP,O
247,247,Sentence: 10,V,NOUN,O
248,248,Sentence: 10,"""",ADP,O
249,249,Sentence: 10,",",NOUN,O
250,250,Sentence: 10,разработанный,NOUN,O
251,251,Sentence: 10,Центром,ADP,O
252,252,Sentence: 10,им,ADJ,O
253,253,Sentence: 10,.,NOUN,O
254,254,Sentence: 10,Гамалеи,ADP,O
255,255,Sentence: 10,.,PROPN,O
